Aikaleima,Artist,Song,Anime/TV show
,SEGA,Ring (Yuki),Ryuu ga Gotoku (Yakuza)
,SEGA,Rouge of Love (Kaguya),Ryuu ga Gotoku (Yakuza)
,SEGA,Samurai Ondo (Okita Soji),Ryuu ga Gotoku (Yakuza)
,Ayaka Tomoda,Setsuna no ningyohime ~Heart break mermaid~,Ryuu ga Gotoku (Yakuza)
,SEGA,So Much More!,Ryuu ga Gotoku (Yakuza)
,SEGA,Today Is A Diamond,Ryuu ga Gotoku (Yakuza)
,SEGA,x3 SHINE (Yuki),Ryuu ga Gotoku (Yakuza)
,Shiritsu Ebisu Chuugaku,Butterfly Effect ,Ryuugajou Nanana no Maizoukin
,Megumi Hayashibara,Successful Mission ,Saber Marionette J
,Haruna Luna,Kimiiro Signal ,Saenai Heroine no Sodatekata
,TRUE ,Hiryuu no Kishi ,Saijaku Muhai no Bahamut
,nano.RIPE,Lime Tree ,Saijaku Muhai no Bahamut
,Yuria Yato,Koisuru Kimochi ,Saikano
,Yuria Yato,Sayonara ,Saikano
26.7.2024 klo 7.25.41,angela,RECONNECTION,Saikyou Onmyouji no Isekai Tenseiki
,Daoko,Cinderella step ,Sailor Moon
,Kenji Nojima,Eien Dake ga Futari wo Kakeru ,Sailor Moon
,Junko Minagawa & Sayaka Ohara,Eternal Eternity ,Sailor Moon
,Momoiro Clover Z,Gekkou ,Sailor Moon
,Misae Takamatsu,Heart Moving ,Sailor Moon
,Mizuki Arisa,Kaze mo Sora mo Kitto ,Sailor Moon
,Sae,Kirari Sailor Dream ,Sailor Moon
,Momoiro Clover Z,MOON PRIDE ,Sailor Moon
,DALI,Moonlight Densetsu ,Sailor Moon
,Etsuko Yakushimaru,New Moon ni Koishite ,Sailor Moon
,Ishida Yoko,Otome no Policy ,Sailor Moon
,Yoko Ishida,Otome no Policy ,Sailor Moon
,Misato Fukuen,Otome no Susume ,Sailor Moon
,Hashimoto Ushio,Princess Moon ,Sailor Moon
,Hashimoto Ushio,Rashiku Ikimasho ,Sailor Moon
,Hanazawa Kae,Sailor Star Song ,Sailor Moon
,Kae Hanazawa,Sailor Star Song ,Sailor Moon
,Peach Hips,Tuxedo Mirage ,Sailor Moon
,Fujitani Miwako,Watashi tachi ni Naritakute ,Sailor Moon
,Yumi Matsuzawa,Chikyuugi ,Saint Seiya
,Maki Ikuno with Marina del Ray,Hana no Kusari ,Saint Seiya
,Marina del Ray,Megami no Senshi ~Pegasus Forever~ ,Saint Seiya
,MAKE-UP,Pegasus Fantasy ,Saint Seiya
,Hironobu Kageyama & Broadway,Soldier Dream ,Saint Seiya
,Hironobu Kageyama & Broadway,Yume Tabibito -Blue Dream- ,Saint Seiya
,Garden,Late show ,Saiyuki Reload Burial
,YUKI,Sakamichi no Melody ,Sakamichi no Apollon
,CustomiZ,COOLEST ,"Sakamoto, desu ga?"
,Little Non,Bloooomin ,Saki
,Miyuki Hashimoto,Glossy MMM ,Saki
,Kana Ueda,Netsuretsu Kangei Wonderland ,Saki
,Stylips,Miracle Rush ,Saki Achiga-hen
,Chisa Yokoyama,Geki! Teikoku Kagekidan,Sakura Taisen
,SAKURA*TRICK,Won(*3*)Chu KissMe!,Sakura Trick
,TRUE ,Dear answer ,Sakurako–san no Ashimoto ni wa Shitai ga Umatteiru
,Konomi Suzuki,Days of Dash ,Sakurasou no Pet na Kanojo
,Konomi Suzuki,Yume no Tsuzuki ,Sakurasou no Pet na Kanojo
,Nanase Aikawa,Unlimited ,Samurai 7
,MINMI,Shiki no Uta ,Samurai Champloo
,FLOW,Ai Ai Ai ni Utarete Bye Bye Bye ,Samurai Flamenco
,SPYAIR,JUST ONE LIFE ,Samurai Flamenco
,nano.RIPE,Esoragoto ,Sankarea
,Immi,Sign of Love ,Saraiya Goyou
,Mamoru Miyano and Yoshimasa Hosoya,Kawauuso iya ,Sarazanmai
,KANA-BOON,Massara ,Sarazanmai
,The Peggies,Stand by me ,Sarazanmai
,ZAQ,Alteration ,Sasami-san@Ganbaranai
,Haruka Chisuga,Pray ,Satsuriku no Tenshi
,Masaaki Endoh,Vital ,Satsuriku no Tenshi
,Itou Kanako,Garasu no Kutsu ,Saya no Uta
,Kanako Itou,Garasu no Kutsu ,Saya no Uta
,Itou Kanako,Saya no Uta ,Saya no Uta
,Kanako Itou,Saya no Uta ,Saya no Uta
,Kenji Otsuki,Hito Toshite Jiku ga Bureteiru ,Sayanora Zetsubou Sensei
,Zetsubou Shoujotachi,Koiji Romanesque ,Sayanora Zetsubou Sensei
,Zetsubou Shoujotachi,Zessei Bijin ,Sayanora Zetsubou Sensei
,Minami Kuribayashi,Anata Ga Inai ,School Days
,DiviceHigh,Innocent Blue ,School Days
,yozuca,Kioku no Umi ,School Days
,YURIA,Look at Me ,School Days
,Itou Kanako,Waltz ,School Days
,Z„hre,Kanashimi ga Jidai wo Kakeru ,Schwarzesmarken
,FripSide,White Forces ,Schwarzesmarken
,Zhu Zirong,QuŠ Chunshan ,Scumbag System
,Zhao Lei from R1SE,W…ng Y n Ge ,Scumbag System
,Aira Yuuki,Blessing ,Seijo no Maryoku wa Bannou desu
,petit milady,Hi no Ito Rinne no Gemini ,Seiken Tsukai no World Break
,Yui Sakakibara,Seiken Nante Iranai ,Seikoku no Dragonar
,Yousei Teikoku,Baptize ,Seikon no Qwaser
,Knee-Socks,Blade Dance ,Seirei Tsukai no Blade Dance
,Hitomi Harada,Kyoumei no True Force ,Seirei Tsukai no Blade Dance
,Suzuko Mimori,Xenotopia ,Seisen Cerberus: Ryuukoku no Fatalité
,Maaya Uchida,Resonant Heart ,Seisen Cerberus: Ryuukoku no Fatalités
,"Asami Seto, Nao Toyama, Atsumi Tanezaki, Maaya Uchida, Yurika Kubo, Inori Minase",Fukashigi no Carte ,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
,the peggies,Kimi no Sei ,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
,Triple Booking,Yamato Nadeshiko Education ,Seitokai Yakuindomo
,Maaya Sakamoto,Be Mine ,Sekai Seifuku: Bouryaku no Zvezda
,Wakaba,"Ashita, Boku wa Kimi ni Ai ni Iku ",Sekaiichi Hatsukoi
,Kanon Wakeshima,Killy Killy Joker ,Selector Infected WIXOSS
,Cyua,realize -Yume no Matsu Basho- ,Selector Infected WIXOSS
,Kanon Wakeshima,"World's end, girl's rondo ",Selector Infected WIXOSS
,Cyua,Undo -Ashita e no Kioku- ,Selector Spread WIXOSS
,Abingdon boys school,JAP ,Sengoku Basara
,T.M.Revolution,Naked Arms ,Sengoku Basara
,Wagakki Band,Ikusa ,Sengoku Musou
,B“a,Duvet ,Serial Experiments Lain
,OLDCODEX,Deal with ,Servamp
,Azumi Waki & Maaya Uchida,Koyoi Mofumofu ,Sewayaki Kitsune no Senko-San
,Azumi Waki,Moffumoffu DE Yoi no Ja yo ,Sewayaki Kitsune no Senko-San
,ReoNa,Nai Nai ,Shadows House
,Kotoko,Being ,Shakugan no Shana
,Kotoko,Blaze ,Shakugan no Shana
,Mami Kawada,Hishoku No Sora ,Shakugan no Shana
,Altima,I'll believe ,Shakugan no Shana
,Mami Kawada,Joint ,Shakugan no Shana
,Kotoko,Light My Fire ,Shakugan no Shana
,Mami Kawada,Serment,Shakugan no Shana
,Yoko Takahashi,Yoake umarekuru shoujo,Shakugan no Shana
,Megumi Hayashibara,Northern Lights ,Shaman King
,Megumi Hayashibara,Omokage ,Shaman King
,Yuuko Satou,Tamashii Kasanete ,Shaman King
,Megumi Hayashibara,Trust you ,Shaman King
,Miwako Saito,Inori no Asa ,Shamanic Princess
,May'n,Kimi Shinitamou Koto Nakare ,Shangri-La
,CHiCO,Ace,Shangri-La Frontier
,ReoNa,Gajumaru ~Heaven in the Rain~,Shangri-La Frontier
,CVLTE,realitYhurts.,Shangri-La Frontier
,petit milady,360ø Hoshi no Orchestra ,Shichisei no Subaru
,Erii Yamazaki,Starlight ,Shichisei no Subaru
,Goose house,Hikaru Nara ,Shigatsu wa Kimi no Uso
,wacci,Kirameki ,Shigatsu Wa Kimi No Uso
,Coalamode,Nanairo Symphony ,Shigatsu Wa Kimi no Uso
,7!!,Orange ,Shigatsu Wa Kimi no Uso
,Ali Project,Kotodama ,Shigofumi
,Issei Eguchi,Kimi ga Iru Kara ,Shijou Saikyou no Deshi Kenichi
,DIVAxDIVA,Yahoo! ,Shijou Saikyou no Deshi Kenichi
,Angela,Beautiful Fighter ,Shikabane Hime
,Kanon x Kanon,Calendula Requiem ,Shiki
,Sumire Uesaka,Inner Urge ,Shimoneta
,JAM Project,Storm ,Shin Getter Robo vs. Neo Getter Robo
,Rumi Onishi,It's Just Love ,Shin Kidou Senki Gundam Wing
,Two-Mix,Just Communication ,Shin Kidou Senki Gundam Wing
,TWO-MIX,Rhythm Emotion ,Shin Kidou Senki Gundam Wing
,TWO-MIX,White Reflection ,Shin Kidou Senki Gundam Wing: Endless Waltz
,TWO-MIX,Last Impression,Shin Kidou Senki Gundam Wing: Endless Waltz Special
,Yoko Ishida,White Destiny ,Shin Shirayuki-hime Densetsu Prétear
,MYTH&ROID,TIT FOR TAT ,Shinchou Yuusha
,Daoko,Haikei Goodbye Sayonara ,Shingeki no Bahamut
,SiM,EXiSTENCE ,Shingeki no Bahamut Genesis
,Risa Shimizu,Promised Land ,Shingeki no Bahamut Genesis
,THE BEAT GARDEN,Walk This Way ,Shingeki no Bahamut: Virgin Soul
,Linked Horizon,Akatsuki no Chinkonka ,Shingeki no Kyojin
,Ai Higuchi,Akuma no Ko,Shingeki no Kyojin
,Cinema Staff,Great Escape ,Shingeki no Kyojin
,Linked Horizon,Guren no Yumiya ,Shingeki no Kyojin
,Linked Horizon,Jiyuu no Tsubasa ,Shingeki no Kyojin
,YOSHIKI feat. HYDE,Red Swan ,Shingeki no Kyojin
,Linked Horizon,Shinzou wo sasageyou! ,Shingeki no Kyojin
,Linked Horizon,Shoukei to Shikabane no Michi ,Shingeki no Kyojin
,Youko Hikasa,Utsukushiki Zankoku na Sekai ,Shingeki no Kyojin
,Lia,Kokoro ni Todoku Uta ,Shining Hearts
,sweet ARMS,Blade of Hope ,Shinmai Maou no Testament
,Kaori Sadohara,Still Sis ,Shinmai Maou no Testament
,Metamorphose ft. Yoko Ishida,Over The Testament ,Shinmai Maou no Testament Burst
,Dual Flare,Temperature ,Shinmai Maou no Testament Burst
,Daisuke Ono,Key ,Shinrei Tantei Yakumo
,Ultra-Prism,Sinryaku no Susume ,Shinryaku! Ika–musume
,Risa Taneda,Wareta Ringo ,Shinsekai Yori
,Kana Hanazawa,Yuki ni Saku Hana ,Shinsekai Yori
,Sachika Misawa,Faith ,Shirogane no Ishi: Argenvollen
,Kotoko,Tough Intention ,Shirogane no Ishi: Argenvollen
,Kotoko,ZoNE-iT ,Shirogane no Ishi: Argenvollen
,Nami Tamaki,Vivid Telepathy ,Shirogane no Ishi: Argevollen
,Fo'xTails,Atria ,Shokugeki no Soma
,ZAQ,Braver ,Shokugeki no Soma
,ULTRA TOWER,Kibou no Uta ,Shokugeki no Soma
,nano.RIPE,Kyokyo Jitsujitsu ,Shokugeki no Soma
,Misokkasu,Rising Rainbow ,Shokugeki no Soma
,SCREEN mode,ROUGH DIAMONDS ,Shokugeki no Soma
,nano.RIPE,Snow Drop ,Shokugeki no Soma
,Tokyo Karankoron,Spice ,Shokugeki no Soma
,Luck Life,Symbol ,Shokugeki no Soma
,Yumi Ruka,Truth ,Shoujo Kakumei Utena
,Yumi Ruka,Virtual Star Hasseigaku ,Shoujo Kakumei Utena
,Inori Minase & Yurika Kubo,"Ugoku, Ugoku ",Shoujo Shuumatsu Ryokou
,Sayaka Sasaki,WASTELANDERS ,Shoujo-tachi wa Kouya we Mezasu
,Megumi Hayashibara,Imawa no Shinigami ,Shouwa Genroku Rakugou Shinjuu
,Megumi Hayashibara,Usurahi Shinjuu ,Shouwa Genroku Rakugou Shinjuu
,Yuria,You ,Shuffle
,Angela,Sidonia ,Sidonia no Kishi
,Eri Kitamura,Tenohira -show- ,Sidonia no Kishi
,Angela,Kishi Koushinkyoku ,Sidonia no Kishi: Daikyuu Wakusei Seneki
,CustomiZ,Requiem ,Sidonia no Kishi: Daikyuu Wakusei Seneki
,Saori Ishizuka,Kindan no Pens‚e ,Silent Mobius
,Yui Horie,Love Destiny ,Sister Princess
,Yuuri,Infinity ,Sk8 the infinity
,Rude-alpha,Paradise ,Sk8 the infinity
,The Sketchbook,Clear ,Sket Dance
,The Sketchbook,Clover ,Sket Dance
,The Sketchbook,Colors ,Sket Dance
,Gackt,Graffiti ,Sket Dance
,The Sketchbook,Message ,Sket Dance
,The Sketchbook,Michi ,Sket Dance
,SKETxSketch,Sekai wa Okujou de Miwataseta ,Sket Dance
,Mell,Virgins High ,Skyl Girls
,Ooguro Maki,Anata Dake Mitsumete Ru ,Slam Dunk
,BAAD,Kimi ga suki da to sakebitai ,Slam Dunk
,Manish,Kirameku Toki ni Torawarete ,Slam Dunk
,Zard,My Friend ,Slam Dunk
,Wands,Sekai ga Owaru Made wa... ,Slam Dunk
,Spira Spica,Sansan Days ,Sono Bisque Doll wa Koi wo Suru
,fhána,Hoshikuzu no Interlude ,Sora no Method
,Blue Drops,Heart No Kakuritsu ,Sora no Otoshimono
,Blue Drops,Ring My Bell ,Sora no Otoshimono
,Haruka Tomatsu,"Girls, be ambitious.",So Ra No Wo To
,Kalafina,Hikari no Senritsu,So Ra No Wo To
,Ali Project,Kishi Otome ,Sora o Kakeru Shoujo
,Ali Project,Rara Eve Shinseiki ,Sora o Kakeru Shoujo
,Joanna Koike,Beautiful World ,Soredemo Sekai wa Utsukushii
,Rena Maeda,PROMISE ,Soredemo Sekai wa Utsukushii
,TETSU,Honoo no Sadame ,Soukou Kihei Votoms
,Angela,Naze ni... ,Soukyuu no Fafner
,Angela,Separation ,Soukyuu no Fafner
,Angela,Shangri-La ,Soukyuu no Fafner
,Angela,THE BEYOND ,Soukyuu no Fafner
,Angela,Anya Kouro ,Soukyuu no Fafner EXODUS
,Angela,DEAD OR ALIVE ,Soukyuu no Fafner EXODUS
,Angela,Exist ,Soukyuu no Fafner EXODUS
,Angela,Horizon ,Soukyuu no Fafner EXODUS
,Angela,Kimi o Yurusu You Ni,Soukyuu no Fafner The Beyond
,Angela,Sakebe,Soukyuu no Fafner The Beyond
,Angela,Yoakemachi no Ballad,Soukyuu no Fafner The Beyond
,Tommy heavenly6,PAPERMOON ,Soul Eater
,T.M.Revolution,Resonance ,Soul Eater
,Abingdon Boys School,Strength ,Soul Eater
,AKINO with bless4,Kimi no Shinwa ~ Aquarion Dai Ni Shou ,Sousei no Aquarion
,AKINO,Sousei no Aquarion ,Sousei no Aquarion
,milet,Anytime Anywhere,Sousou no Frieren
,Yorushika,Haru,Sousou no Frieren
,YOASOBI,Yuusha,Sousou no Frieren
,Yasuyuki Okamura,Viva Namida ,Space Dandy
,Etsuko Yakushimaru,X Jigen e Youkoso ,Space Dandy
,Gen Hoshino,Comedy,Spy x Family
,Official HIGE DANdism,Mixed Nuts ,Spy x Family
,BUMP OF CHICKEN,SOUVENIR ,Spy x Family
,Steel Angels,Kiss Kara Hajimaru Miracle ,Steel Angel Kurumi
,Itou Kanako,A.R. ,Steins;Gate
,Itou Kanako,Anata no Eranda Kono Toki wo ,Steins;Gate
,Itou Kanako,Another Heaven ,Steins;Gate
,Kanako Itou,Fatima ,Steins;Gate
,Itou Kanako,Hacking to the gate ,Steins;Gate
,Kanako Itou,Hacking to the Gate ,Steins;Gate
,Ayane,Itsumo Kono Basho de ,Steins;Gate
,Zwei,Last Game ,Steins;Gate
,Itou Kanako,Sky Clad no Kansokusha ,Steins;Gate
,Yui Sakakibara,Toki Tsukasadoru Juuni no Meiyaku ,Steins;Gate
,Kanako Itou,Amadeus ,Steins;Gate 0
,Aki Misato,Kuchibiru Daydream ,Strawberry Panic
,Aki Misato,Shoujo Meiro De Tsukamaete ,Strawberry Panic
,Kanon Wakeshima,Signal ,Strike the Blood
,Yoko Ishida,To do what I can ,Strike Witches
,Scenario Art,Nana Hitsuji ,Subete ga F ni Naru
,KANA-BOON,Talking ,Subete ga F ni Naru
,Minori Chihara,Kono Sekai wa Bokura wo Matteita ,Suisei no Gargantia
,ChouCho,Sora to Kimi no Message ,Suisei no Gargantia
,Suneohair,slow dance ,Sukitte Ii na yo
,Radwimps feat. Toaka,Suzume,Suzume
,Aya Hirano,Bouken Desho Desho ,Suzumiya Haruhi
,"Aya Hirano, Minori Chihara & Yuko Goto",Hare hare yukai ,Suzumiya Haruhi
,SOS Brigade,Ima made no Arasuji ,Suzumiya Haruhi
,Aya Hirano,Lost my music ,Suzumiya Haruhi
,Aya Hirano,God knows ,Suzumiya Haruhi no Yuuutsu
,Aya Hirano,Super Driver ,Suzumiya Haruhi no Yuuutsu
,LiSA,ADAMAS ,Sword Art Online
,Haruka Tomatsu,Courage ,Sword Art Online
,LiSA,crossing field ,Sword Art Online
,Eir Aoi,I will... ,Sword Art Online
,Eir Aoi,IGNITE ,Sword Art Online
,Eir Aoi,Innocence ,Sword Art Online
,Miyuki Hashimoto,Innocence ,Sword Art Online
,Eir Aoi,Iris ,Sword Art Online
,LiSA,No More Time Machine ,Sword Art Online
,Haruna Luna,Overfly ,Sword Art Online
,ASCA,RESISTER,Sword Art Online
,LiSA,Shirushi ,Sword Art Online
,Haruna Luna,Startear ,Sword Art Online
,LiSA,unlasting ,Sword Art Online
,Haruka Tomatsu,Yume Sekai ,Sword Art Online
,Eir Aoi,Ryuusei ,Sword Art Online Alternative: Gun Gale Online
,Tomori Kusunoki,To see the future ,Sword Art Online Alternative: Gun Gale Online
,ReoNa,ANIMA ,Sword Art Online: Alicization - War of Underworld
,May'n,Belief ,Taboo Tattoo
,Kanako Itou,Calling my Twilight ,Taimadou Gakuen 35 Shiken Shoutai
,Afilia Saga,Embrace Blade ,Taimadou Gakuen 35 Shiken Shoutai
,Masami Suzuki,Yume no Hate ,Tales of Phantasia The Animation
,Akiko Shikata,Ibitsu ,Tales of Symphonia
,Day After Tomorrow,Starry Heavens ,Tales of Symphonia
,Akiko Shikata,Ta ga Tame no Sekai ,Tales of Symphonia
,Nana Mizuki,Tenkuu no Canaria ,Tales of Symphonia The Animation
,Bump Of Chicken,Karma ,Tales of the Abyss
,Ayumi Hamasaki,Progress ,Tales of Xillia
,Ayumi Hamasaki,Song 4 U ,Tales of Xillia
,fhána,calling ,Tales of Zestiria
,FLOW,Kaze no Uta ,Tales of Zestiria
,Superfly,White Light ,Tales of Zestiria
,Unlimited Tone,Utatane Sunshine ,Tanaka–kun wa Itsumo Kedaruge
,96Neko,Nagareboshi ,Tanken Driland
,Faylan,Honnou no Doubt ,Tantei Opera Milky Holme
,Konomi Suzuki,Choir Jail ,Tasogare Otome x Amnesia
,Aira Yuuki,Dominant Space ,Tatakau Shisho
,Annabel,Light of Dawn ,Tatakau Shisho
,Sayaka Sasaki,Seisai no Ripieno ,Tatakau Shisho
,Sonia,Tenchi Muyo! ,Tenchi Muyo
,Afromania,Minna no Peace ,Tengen Toppa Gurren Lagann
,Shoko Nakagawa,Sorairo Days ,Tengen Toppa Gurren Lagann
,HIGH VOLTAGE,UNDERGROUND ,Tengen Toppa Gurren Lagann
,BiSH,innocent arrogance  ,Tengoku Daimakyo
,Aiko Kaoyu,Aishitene Motto ,Tenjou Tenge
,EMPiRE,HON-NO ,Tenkuu Shinpan
,Kishida Kyoudan & The Akeboshi Rockets,Tenkyou no Alderamin ,Tenkyou no Alderamin 
,TERRASPEX,Amazing Break ,Terra Formars
,TERRASPEX,Lightning ,Terra Formars
,Gackt,Tsuki no Uta ,Texhnolyze
,Chiyo Ousaki,Chiisana Koi no Misshitsu Jiken ,The Idolmaster: Cinderella Girls Starlight Stage
,Haruka Terui,La Vie en Rose ,The Idolmaster: Cinderella Girls Starlight Stage
,Natsumi Takamori,Onedari Shall We~ ,The Idolmaster: Cinderella Girls Starlight Stage
,Hitomi Shimatani,Falco ,The Law of Ueki
,9nine,SunSunSunrise ,The Reflection
,Emblem of THE UNLIMITED,LAST RESOLUTION (Japanese ver.) ,The Unlimited Kyosuke Hyobu
,Maaya Sakamoto,Yakusoku wa iranai ,The Vision of Escaflowne
,Kami Nomi zo Shiritai,Ai no yokan ,The World God Only Knows
,Jupiter no Shimai,Kizuna no Yukue ,The World God Only Knows
,Kami Nomi zo Shiritai,Koi no Shirushi ,The World God Only Knows
,Ayumi Hamasaki,Depend on you ,Thousand Arms
,Tamaki,Mind Game ,Tiger & Bunny
,Sayaka Sasaki,fly away t.p.s ,Time Paladin Sakura
,sajou no hana,Aoarashi no Ato de ,To Are Kagaku no Railgun
,Sachika Misawa,Links ,To Are Kagaku no Railgun
,Kishida Kyoudan & The Akeboshi Rockets,nameless story ,To Aru Kagako no Railgun
,Yuka Iguchi,Grow Slowly ,To Aru Kagaku no Railgun
,IKU,Chikaigoto ~sukoshi dake mou ichido~ ,To Aru Majutsu no Index
,Mami Kawada,Get My Way! ,To Aru Majutsu no Index
,Yuka Iguchi,Kakumei Zenya ,To Aru Majutsu no Index
,Maon Kurosaki,Magic World ,To Aru Majutsu no Index
,Mami Kawada,Masterpiece ,To Aru Majutsu no Index
,Maon Kurosaki,Memories Last ,To Aru Majutsu no Index
,Mami Kawada,No Buts! ,To Aru Majutsu no Index
,IKU,Rimless ~Fuchi Nashi no Sekai~ ,To Aru Majutsu no Index
,Haruka Tomatsu,Baby Baby Love ,To LOVE-RU
,Thyme,Forever We Can Make It ,To LOVE-RU
,Kanon Wakeshima,Foul Play ni Kurari,To LOVE-RU
,Anna,Kiss no Yukue ,To LOVE-RU
,KOTOKO,Loop-the-Loop ,To LOVE-RU
,Anna,Lucky Tune ,To LOVE-RU
,Ray,Rakuen PROJECT ,To LOVE-RU
,Haruka Tomatsu & Sayuri Yahagi,Yattekoi! Daisuki ,To LOVE-RU
,Akai Kouen,Kaze ga Shitteru ,Toaru Hikuushi e no Koiuta
,ELISA,Dear My Friend -Mada Minu Mirai e- ,Toaru Kagaku no Railgun
,FripSide,dual existence ,Toaru Kagaku no Railgun
,FripSide,Eternal Reality ,Toaru Kagaku no Railgun
,FripSide,final phase ,Toaru Kagaku no Railgun
,FripSide,Future Gazer ,Toaru Kagaku no Railgun
,Fripside,Level 5 Judgelight ,Toaru Kagaku no Railgun
,FripSide,Only my Railgun ,Toaru Kagaku no Railgun
,ELISA,Real Force ,Toaru Kagaku no Railgun
,FripSide,Way to Answer ,Toaru Kagaku no Railgun
,FripSide,Sister's Noise ,Toaru Kagaku no Railgun S
,Mami Kawada,PSI-missing ,Toaru Majutsu no Index
,Mami Kawada,See Visions ,Toaru Majutsu no Index
,Tokio,Haato wo miga kukkyanai ,Tobe! Isami
,Kanako Itou,Honed Moon -Togareta Tsuki- ,Togainu no Chi
,Faylan,Tokyo Zero Hearts ,Tokyo ESP
,amazarashi,Kisetsu wa Tsugitsugi Shindeiku ,Tokyo Ghoul
,People In The Box,Seija-tachi ,Tokyo Ghoul
,TK from Ling Tosite Sigure,Unravel ,Tokyo Ghoul
,Tokyo Mew Mew Cast,Koi wa … la Mode ,Tokyo Mew Mew
,Rika Komatsu,My Sweet Heart ,Tokyo Mew Mew
,Mami Kawada,Break a spell ,Tokyo Ravens
,Maon Kurosaki,X-encounter ,Tokyo Ravens
,Official HIGE DANdism,Cry Baby,Tokyo Revengers
,Official HIGE DANdism,White Noise,Tokyo Revengers
,Haruka Tomatsu,Q&A Recital! ,Tonari no Kaibutsu-kun
,9nine,White Wishes ,Tonari no Kaibutsu-kun
,Kana Hanazawa,Meiwaku Spectacle ,Tonari no Seki-kun
,Azumi Inoue,Sanpo ,Tonari No Totoro
,Azumi Inoue,Tonari no Totoro ,Tonari No Totoro
,Yunomi feat. Akari Kitou,Koi no Uta ,Tonikaku Kawaii
,KanoeRana,Tsuki to Hoshizora ,Tonikaku Kawaii
,"Rie Kugimiya, Yui Horie & Eri Kitamura",Orange ,Toradora
,Yui Horie,Pre-Parade ,Toradora
,Yui Horie,Silky heart ,Toradora
,Yui Horie,Vanilla Salt ,Toradora!
,Leo Ieiri,Sabrina ,Toriko
,BUCK-TICK,Dress (Bloody Trinity mix) ,Trinity Blood
,Kotani Kinya,Blaze ,Tsubasa Reservoir Chronicles
,Kotani Kinya,It's ,Tsubasa Reservoir Chronicles
,Maaya Sakamoto,Kazemachi Jet ,Tsubasa Reservoir Chronicles
,Maaya Sakamoto,Loop ,Tsubasa Reservoir Chronicles
,Yui Makino,Synchronicity ,Tsubasa Reservoir Chronicles Tokyo Revelations
,Ali Project,Hi no Tsuki ,Tsuki to Laika to Nosferatu
,syudou,Gambling,Tsukimichu
,Saori Hayami,Orange Mint ,Tsukimonogatari
,Dimitri From Paris,Neko Mimi Mode ,Tsukuyomi: Moon Phase
,Sayonara Ponytail,Sora mo Toberu hazu ,Tsuritama
,Gabriela Robin,Moon,∀ Gundam
,Hideki Saijo,Turn A Turn,∀ Gundam
,fhána,Moon River ,Uchouten Kazoku
,fhána,"Qu‚ Ser , Ser  ",Uchouten Kazoku
,Angela,Asu e no brilliant road,Uchuu no Stellvia
,Angela,Kirei na yozora,Uchuu no Stellvia
,Angela,The end of the world,Uchuu no Stellvia
,UVERworld,Fight For Liberty ,Uchuu Senkan Yamato 2199
,Isao Sasaki,Uchuuu Senkan Yamato,Uchuu Senkan Yamato 2199
,"Azumi Waki, Marika Kouno, Machico, Ayaka Ohashi, Chise Kimura, Hitomi Ueda, Saori Oonishi",Grow Up Shine! ,Uma Musume: Pretty Derby
,"Azumi Waki, Marika Kouno, Machico, Ayaka Ohashi, Chise Kimura, Hitomi Ueda, Saori Oonishi",Make Debut! ,Uma Musume: Pretty Derby
,"Azumi Waki, Marika Kouno, Machico, Ayaka Ohashi, Chise Kimura, Hitomi Ueda, Saori Oonishi",Yume wo Kakeru! ,Uma Musume: Pretty Derby
,Shikata Akiko,Katayoku no Tori ,Umineko no Naku Koro Ni
,Jimang,La Divina Tragedia ~Makyoku~ ,Umineko no Naku Koro ni
,Ayumu,Occultics no Majo ,Umineko no Naku Koro ni
,Akiko Shikata,Umineko no Naku Koro ni ,Umineko no Naku Koro ni
,Lama,Fantasy ,UN-GO
,QUEEN BEE,Zero ichi,Undead Unluck
,Dir en grey,-I'll- ,Urayasu Tekkin Kazoku
,SHEEP,Natsu no Maboroshi ,Urayasu Tekkin Kazoku
,Kasarinchu,High High High ,Usagi Drop
,Puffy,Sweet Drops ,Usagi Drop
,Takuma Terashima,Brand New Melody ,Uta no Prince-sama
,"Junichi Suwabe, Hiro Shimono & Kousuke Toriumi",Code_T.V.U ,Uta no Prince-sama
,Mamoru Miyano,CRYSTAL TIME ,Uta no Prince-sama
,Takuma Terashima & Kishow Taniyama,EMOTIONAL LIFE ,Uta no Prince-sama
,Kousuke Toriumi,Eternity Love ,Uta no Prince-sama
,Kousuke Toriumi,Hoshi no Fantasia ,Uta no Prince-sama
,Mamoru Miyano,Kanon ,Uta no Prince-sama
,Kenichi Suzumura,Knocking on the Mind ,Uta no Prince-sama
,Kenichi Suzumura,Koizakura ,Uta no Prince-sama
,Miyuki Sawashiro,Maigo no Kokoro ,Uta no Prince-sama
,STARISH,Maji Love 1000% ,Uta no Prince-sama
,STARISH,Maji Love 2000% ,Uta no Prince-sama
,STARISH,Maji Love Revolutions ,Uta no Prince-sama
,STARISH,Mirai Chizu ,Uta no Prince-sama
,Mamoru Miyano,Nanairo no Compass ,Uta no Prince-sama
,Junichi Suwabe,Orange Rhapsody ,Uta no Prince-sama
,Kenichi Suzumura & Mamoru Miyano,ORIGINAL RESONANCE ,Uta no Prince-sama
,Kishow Taniyama,Orion de SHOUT OUT ,Uta no Prince-sama
